bhk,area,price,age,type,locality,region,status
4,1492,340.0,0,Apartment,Aurum Q Island R4 AND R5,Ghansoli,Ready to move
2,715,168.0,0,Apartment,Aurum Q Island R4 AND R5,Ghansoli,Ready to move
1,505,108.0,0,Apartment,Aurum Q Island R4 AND R5,Ghansoli,Ready to move
2,644,158.0,0,Apartment,Raymond Raymond Realty TenX Habitat,Thane West,Under Construction
2,635,165.0,0,Apartment,Raymond Raymond Realty TenX Habitat,Thane West,Under Construction
4,1969,689.0,0,Apartment,Asshna Seabliss,Andheri West,Under Construction
1,514,38.74,0,Apartment,Shakti Shree Siddhivinayak II,Bhiwandi,Under Construction
2,685,225.99999999999997,0,Apartment,Asshna Seabliss,Andheri West,Under Construction
3,1236,408.0,0,Apartment,Asshna Seabliss,Andheri West,Under Construction
2,1002,47.45,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
1,840,38.27,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
1,702,31.99,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,1030,48.78,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,1027,48.63,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
1,730,33.26,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
1,790,36.0,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,950,44.99,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,1063,50.34,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,1057,50.05,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,1008,47.73,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,1070,50.67,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
1,812,37.0,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,1012,47.92,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
1,740,39.22,0,Apartment,Dev Drashti Empire Phase 1,Bhiwandi,Ready to move
2,1045,55.38,0,Apartment,Dev Drashti Empire Phase 1,Bhiwandi,Ready to move
1,690,36.57,0,Apartment,Dev Drashti Empire Phase 1,Bhiwandi,Ready to move
2,1085,57.5,0,Apartment,Dev Drashti Empire Phase 1,Bhiwandi,Ready to move
2,1060,56.18,0,Apartment,Dev Drashti Empire Phase 1,Bhiwandi,Ready to move
1,795,42.13,0,Apartment,Dev Drashti Empire Phase 1,Bhiwandi,Ready to move
1,384,91.01,0,Apartment,B G Shirke Monte Verita West Tower,Borivali East,Under Construction
2,558,132.0,0,Apartment,B G Shirke Monte Verita West Tower,Borivali East,Under Construction
2,557,132.0,0,Apartment,B G Shirke Monte Verita West Tower,Borivali East,Under Construction
2,618,146.0,0,Apartment,B G Shirke Monte Verita West Tower,Borivali East,Under Construction
1,501,29.5,0,Apartment,Walekar Homes,Ambernath West,Ready to move
1,399,24.5,0,Apartment,Walekar Homes,Ambernath West,Ready to move
1,440,26.5,0,Apartment,Walekar Homes,Ambernath West,Ready to move
2,635,36.5,0,Apartment,Walekar Homes,Ambernath West,Ready to move
2,569,33.0,0,Apartment,Walekar Homes,Ambernath West,Ready to move
1,464,27.5,0,Apartment,Walekar Homes,Ambernath West,Ready to move
1,422,26.0,0,Apartment,Walekar Homes,Ambernath West,Ready to move
2,937,135.0,0,Apartment,Ravechi Shreeji Divine,Kharghar,Under Construction
2,945,144.0,0,Apartment,Ravechi Shreeji Divine,Kharghar,Under Construction
5,2135,314.0,0,Apartment,Ravechi Shreeji Divine,Kharghar,Under Construction
3,1198,179.0,0,Apartment,Ravechi Shreeji Divine,Kharghar,Under Construction
6,2396,359.0,0,Apartment,Ravechi Shreeji Divine,Kharghar,Under Construction
3,1698,248.0,0,Apartment,Ravechi Shreeji Divine,Kharghar,Under Construction
3,895,142.0,0,Apartment,Neelkanth Auris,Panvel,Under Construction
2,601,97.92,0,Apartment,Neelkanth Auris,Panvel,Under Construction
2,679,124.0,0,Apartment,Shree Krupa Nandanvan Homes Building B,Thane West,Under Construction
3,887,187.0,0,Apartment,Shree Krupa Nandanvan Homes Building B,Thane West,Under Construction
2,692,53.0,0,Apartment,Sri Garden Avenue K,Virar,Under Construction
1,487,36.99,0,Apartment,Sri Garden Avenue K,Virar,Under Construction
1,515,75.0,0,Apartment,Tajjodin Taj Regency,Kamothe,Under Construction
1,427,102.0,0,Apartment,Avant Heritage III,Jogeshwari East,Under Construction
1,380,91.2,0,Apartment,Avant Heritage III,Jogeshwari East,Under Construction
2,517,124.0,0,Apartment,Avant Heritage III,Jogeshwari East,Under Construction
1,651,20.0,1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,Ready to move
2,1000,32.0,1,Apartment,Squarefeet Sarvoday Square,Ambernath West,Ready to move
2,950,80.0,1,Apartment,Shreeji Darshan,Ulwe,Under Construction
2,950,55.0,1,Apartment,Abhinandan Cloris,Kewale,Under Construction
1,650,20.0,1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,Ready to move
4,2100,325.0,1,Apartment,Reputed Builder Emerald Apartments,Santacruz East,Ready to move
1,720,47.0,1,Apartment,Paradise Sai World Dreams Phase 1,Dombivali,Under Construction
3,1530,285.0,1,Apartment,Bhoomi New vandana CHSL,Borivali East,Ready to move
1,560,25.0,1,Apartment,Crystal Bharat Residency,Nala Sopara,Ready to move
1,400,79.8,1,Apartment,Avant Hillway,Goregaon East,Under Construction
1,530,22.79,1,Apartment,Fia Orion,Palghar,Ready to move
2,920,65.0,1,Apartment,SS Balaji Krishna,Dombivali,Under Construction
1,550,25.0,1,Apartment,Qualitas QN Heights,Taloja,Ready to move
1,650,20.0,1,Apartment,Aditi Seven Heights,Boisar,Under Construction
4,1500,560.0,1,Apartment,SD Epsilon,Kandivali East,Ready to move
1,520,25.0,1,Apartment,Crystal Bharat Residency,Nala Sopara,Ready to move
1,453,85.0,1,Apartment,Lodha Codename Crown Jewel,Thane West,Ready to move
1,650,100.0,1,Apartment,Zoeb Aayesha Palace,Parel,Ready to move
2,920,110.00000000000001,1,Apartment,HDIL Galaxy Apartments,Kurla,Ready to move
1,570,55.0,1,Apartment,Shreeji Bhakti Park,Thane West,Ready to move
1,750,45.0,1,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Kalamboli,Ready to move
2,500,10.0,1,Apartment,HG Sai Tulip,Taloja,Ready to move
1,677,30.0,1,Apartment,Proviso SaiProviso County,Panvel,Ready to move
1,650,35.0,1,Apartment,Proviso SaiProviso County,Panvel,Under Construction
3,1015,245.00000000000003,0,Apartment,Kalpataru Kalpataru Elitus,Mulund West,Under Construction
3,1076,319.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
2,718,212.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
2,758,224.00000000000003,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
3,991,294.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
2,618,182.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
3,1033,306.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
3,913,270.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
3,866,257.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
2,562,170.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
3,948,281.0,0,Apartment,Kalpataru Vivant South Wing B,Andheri East,Under Construction
3,894,186.0,0,Apartment,Kalpataru Srishti Namaah,Mira Road East,Under Construction
2,668,135.0,0,Apartment,Kalpataru Srishti Namaah,Mira Road East,Under Construction
1,555,15.5,1,Apartment,Vrindavan Nagari,Boisar,Ready to move
1,729,51.0,1,Apartment,DB Ozone,Dahisar,Ready to move
2,1020,110.00000000000001,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
2,1035,114.99999999999999,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
2,1070,89.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,1070,93.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,1050,83.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,1050,80.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,1021,111.00000000000001,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
2,1045,79.0,1,Apartment,DB Ozone,Dahisar,Ready to move
2,1039,80.0,1,Apartment,DB Ozone,Dahisar,Ready to move
2,1080,113.99999999999999,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
2,750,73.0,1,Apartment,Man Opus,Mira Road East,Ready to move
1,650,62.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,1050,79.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,1050,80.0,0,Apartment,Man Opus,Mira Road East,Ready to move
2,1020,85.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,785,93.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
2,765,91.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
1,850,114.99999999999999,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
2,850,111.00000000000001,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
1,620,60.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,856,118.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
2,750,70.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,768,90.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
2,856,119.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
1,756,73.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
2,850,105.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
1,675,74.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
1,600,33.6,1,Apartment,Lakshadeep Residency,Karanjade,Ready to move
1,520,21.5,1,Apartment,Reputed Builder Vrindavan Society,Thane West,Ready to move
1,685,36.37,1,Apartment,Shree Karma Heights,Vasai,Under Construction
2,870,95.0,1,Apartment,Man Opus,Mira Road East,Ready to move
3,1665,199.0,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
2,1050,90.0,1,Apartment,Man Opus,Mira Road East,Ready to move
1,756,77.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
1,785,76.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
2,860,38.7,1,Apartment,Fia Orion,Palghar,Ready to move
1,600,30.0,1,Apartment,Adhiraj Gardens,Kharghar,Ready to move
1,380,14.0,1,Studio Apartment,Haware Nakshatra,Palghar,Ready to move
1,600,18.0,1,Apartment,Braj City,Mahim,Under Construction
2,581,125.0,1,Apartment,Alag Olive,Ghatkopar East,Under Construction
2,810,118.0,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
3,1200,185.0,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
2,856,79.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,856,80.0,1,Apartment,Man Opus,Mira Road East,Ready to move
1,629,55.0,1,Apartment,DB Ozone,Dahisar,Ready to move
1,620,56.0,1,Apartment,DB Ozone,Dahisar,Ready to move
2,850,78.0,1,Apartment,DB Ozone,Dahisar,Ready to move
2,850,79.0,1,Apartment,DB Ozone,Dahisar,Ready to move
2,1350,215.0,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
2,1070,95.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,789,98.0,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
1,659,59.0,1,Apartment,Man Opus,Mira Road East,Ready to move
1,656,61.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,850,78.0,1,Apartment,Man Opus,Mira Road East,Ready to move
2,825,110.00000000000001,1,Apartment,Lodha Aqua,Mira Road East,Ready to move
1,650,45.5,1,Apartment,Swastik Sarvoday Symphony,Dombivali,Under Construction
3,1555,256.0,1,Apartment,Arihant Advika,Vashi,Under Construction
2,1125,100.0,1,Apartment,Arihant Clan Aalishan Phase 1,Kharghar,Under Construction
2,1233,275.0,1,Apartment,Sheth Auris Serenity Tower 2,Malad West,Ready to move
2,415,95.0,1,Studio Apartment,K Merchant Sai Ekvira Sadan,Girgaon,Ready to move
2,430,125.0,1,Apartment,Reputed Builder Nutan Gangotri,Andheri West,Ready to move
2,1070,81.0,1,Apartment,Proviso Heights,Ulwe,Ready to move
1,335,17.5,1,Studio Apartment,Munish Glorious,Vasai,Under Construction
1,535,27.21,1,Apartment,Munish Glorious,Vasai,Ready to move
3,1180,475.0,1,Apartment,Reputed Builder AVANTI APARTMENT,Dadar West,Ready to move
2,1090,180.0,1,Apartment,BREDCO Hill View Park,Kandivali East,Ready to move
2,850,114.99999999999999,1,Apartment,Lodha Mira Road Project 1,Mira Road East,Ready to move
3,1525,325.0,1,Apartment,Konark Alpha Residency,Borivali West,Ready to move
2,965,85.0,1,Apartment,Reputed Builder Bharti Apartment,Bandra West,Ready to move
3,1300,229.99999999999997,1,Apartment,GHP Powai Vihar Complex,Powai,Ready to move
4,2500,440.00000000000006,1,Apartment,Gauri Excellency,Kandivali West,Under Construction
1,655,50.0,1,Apartment,Kohinoor Royal Residency Park,Kalyan West,Ready to move
2,950,340.0,1,Apartment,Harsh Vista,Mahim,Ready to move
1,560,21.0,1,Apartment,Krupa Valley Phase 1,Neral,Ready to move
3,939,258.0,1,Apartment,Jaishree Mayur Pankh,Mulund West,Under Construction
2,941,37.0,1,Apartment,West Pioneer Metro Grande,Kalyan East,Ready to move
3,905,275.0,0,Apartment,Godrej Urban Park,Powai,Under Construction
3,944,286.0,0,Apartment,Godrej Urban Park,Powai,Under Construction
2,611,175.0,0,Apartment,Godrej Urban Park,Powai,Under Construction
2,615,176.0,0,Apartment,Godrej Urban Park,Powai,Under Construction
1,575,23.79,0,Apartment,Unimont Aurum,Karjat,Under Construction
2,735,32.42,0,Apartment,Unimont Aurum,Karjat,Under Construction
2,840,37.06,0,Apartment,Unimont Aurum,Karjat,Under Construction
1,540,22.34,0,Apartment,Unimont Aurum,Karjat,Under Construction
1,460,19.03,0,Apartment,Unimont Aurum,Karjat,Under Construction
1,490,20.27,0,Apartment,Unimont Aurum,Karjat,Under Construction
2,795,35.07,0,Apartment,Unimont Aurum,Karjat,Under Construction
1,530,21.93,0,Apartment,Unimont Aurum,Karjat,Under Construction
1,595,24.62,0,Apartment,Unimont Aurum,Karjat,Under Construction
2,755,33.31,0,Apartment,Unimont Aurum,Karjat,Under Construction
1,435,18.0,0,Apartment,Unimont Aurum,Karjat,Under Construction
2,680,30.0,0,Apartment,Unimont Aurum,Karjat,Under Construction
2,715,31.54,0,Apartment,Unimont Aurum,Karjat,Under Construction
2,780,34.41,0,Apartment,Unimont Aurum,Karjat,Under Construction
2,645,192.0,0,Apartment,Sunteck City First Impression,Goregaon West,Under Construction
1,411,32.5,0,Apartment,Siddhivinayak Pratima Gold,Taloja,Under Construction
2,553,44.0,0,Apartment,Siddhivinayak Pratima Gold,Taloja,Under Construction
1,400,32.0,0,Apartment,Siddhivinayak Pratima Gold,Taloja,Under Construction
2,583,45.0,0,Apartment,Siddhivinayak Pratima Gold,Taloja,Under Construction
4,1150,280.0,1,Apartment,Platinum Life,Andheri West,Under Construction
2,1227,91.0,1,Apartment,Platinum Sai Sangam,Ulwe,Ready to move
3,1152,88.0,1,Apartment,Krishna Paradise,Ulwe,Ready to move
4,1135,62.0,1,Apartment,Lodha Palava Lakeshore Greens,Dombivali,Ready to move
1,400,23.0,1,Studio Apartment,Omkar Nest,Ulwe,Ready to move
1,580,80.0,1,Apartment,Swagat Builders Damodar Park Apartment,Ghatkopar West,Ready to move
1,420,100.0,1,Apartment,Lak And Hanware The Residency Tower,Andheri West,Ready to move
1,380,88.0,0,Apartment,B G Shirke Monte Verita North Annexe,Borivali East,Under Construction
2,764,185.0,0,Apartment,B G Shirke Monte Verita North Annexe,Borivali East,Under Construction
1,500,77.0,1,Apartment,JP Atria,Mira Road East,Ready to move
1,550,41.41,1,Apartment,Ace Enclave,Thane West,Under Construction
4,1490,180.0,1,Independent House,Rashmi Dhruvita Park,Nala Sopara,Ready to move
1,515,25.0,1,Apartment,Reputed Builder Jai Malhar,Airoli,Under Construction
2,1100,100.0,1,Apartment,Swaraj Homes Rachael Apartment,Bandra West,Under Construction
1,685,45.0,1,Apartment,Sarvoday Onyx,Kalyan West,Ready to move
1,450,41.37,0,Apartment,Siddhivinayak Anaya,Dronagiri,Under Construction
2,650,57.99,0,Apartment,Siddhivinayak Anaya,Dronagiri,Under Construction
3,1980,175.0,1,Apartment,Neelam Sanskar,Mulund East,Ready to move
3,1750,575.0,1,Apartment,Hiranandani Gardens Lake Castle,Powai,Ready to move
1,650,27.62,1,Apartment,Kalpsutra Vatsalya,Taloja,Ready to move
2,1000,68.5,1,Apartment,Green Earth Developers Green Heights,Kharghar,Ready to move
1,690,62.0,1,Apartment,KT Sai View,Panvel,Under Construction
